Pulse;Camera;Time;Category;Comments
99226;KL11-P1DB;57,47731;UFOs;Unusual spray of UFOs from off- screen, landing on tile 5?
99223;KL1-O8WA;45,453;UFOs;Large UFO from top of the machine around octant 2-3 which leads to disruption. Also visible on KL7- E8WB, KL8, and impurity plume seen on KLDT-O5WB and Evolve.
99221;KL11-P1DA;51,22113;UFOs;Several UFOs throughout the pulse, including this doozy.
99217;KL11-P1DA;57,6209;UFOs;One large and a couple of small UFOs. hopefuilly this has now cleaned the divertor enough
99216;KL11-P1DB;41,5585;UFOs;UFOs from divertor starting at 41.5 in the same place as previous two pulses. all three seem to be nickle
99215;KL11-P1DB;45,37818;UFOs;Fast UFO over divertor. more likely candidate for tungsten apearing in spectrosocpy.
99215;KL11-P1DB;47,87802;UFOs;Dirty disruption - lots of UFOs coming from the divertor
99215;KL11-P1DB;41,67849;UFOs;UFO over divertor, may have been the tungsten signal seen seconds later but might be a bit too far appart.
99214;KL11-P1DB;41,59849;UFOs;Large UFO, possibly coming from the divertor
99208;KL11-P1DB;48,97791;UFOs;Several UFOS after the disruption, but still very less than last week.
99206;KLDT-O5WB;47,107;UFOs;UFOs. Also seen on KLDT- E5WD@47.025. No clear from spettroscopy if this is berillium.
99206;Kl11-p1db;47,65801;UFOs;UFOs from outer divertor, but nothing compared with last week ones.
99205;KLDT-E5WD;48,76;UFOs;UFOs.No clear from spettroscopy if this is berillium.
99205;KL11-P1DB;48,59797;UFOs;UFOs from outer divertor, but nothing compared with last week ones.
99198;KL11-P1DB;47,897;UFOs;Lots of UFOs at disruption again
99198;KLDT-O5WB;48,029;UFOs;Possibe UFO cloud after the disruption near Octant 2?
99197;KL11-P1DB;50,277;UFOs;Lots of UFOs from the divertor surfaces throughout the pulse, leading to MARFEs. Particles from bad disruption in 99195.
99195;KLDT-O5WB;46,9;UFOs;Incredibly bad divertor UFOs at disruption. Looks like a very extreme divertor de-conditioning event. Visible on all cameras.
99194;KL11-P1DB;41,6984;UFOs;Lots of UFOs around the divertor at X-point formation. Also visible on wide angle cameras.
99194;KL11-P1DB;49,27793;UFOs;UFOs from around top of divertor at the disruption.
99170;KL11-P1DB;51,797;UFOs;Usual particle shower after disruption
99164;KL11-P1DB;51,87774;UFOs;Flurry of particles in the diverotr at the end of the pulse
99163;KL11-P1DB;51,89769;UFOs;Flurry of particles in the divertor at the end of the pulse
99163;KL11-P1DB;42,09842;UFOs;"Hotspot on tile 6 on frames
256-439, and then it flies away as a shower of particles"
99162;KL11-P1DB;51,61771;UFOs;Flurry of particles in the divertor at the ned of the pulse
99161;KL11-P1DB;51,37773;UFOs;Flurry of particles in the divertor at the end of the pulse
99159;KLDT-O5WB;46,60125;UFOs;Outboard side UFOs (Beion/NBI region)
99149;KLDT-O5WB;52,32;UFOs;frame 356-368 a lot of UFOs during the disruption
99112;KL12-P1WA;53,10123;UFOs;UFO near top of machine. UFOs also visible in other frames. Note that this is a camera I don't usually look at.
99106;KLDT-O5WB;66,20267;UFOs;UFOs for many frames. Not clear from spectroscopy data.
99094;KLDT-O5WB;58,61717;UFOs;Location: divertor region outer side. Ivor confirmed that it was Titanium.
99059;KL11-P1DB;55,1175;UFOs;Lots of UFOs from Divertor after the disruption. Reported to SL. Not clear from spettroscopy data what species they are.
99031;KLDT-O5WB;66,6483;UFOs;Frame: 713 - cluster of particles showing on the outer wall. Nothing shown from spectroscopy
99028;KLDT-O5WB;66,95475;UFOs;Few UFOs very likely coming from WOPL during floppy disruption
99027;KLDT-O5WB;66,50027;UFOs;Several UFOs during floppy disruption (looks like coming from WOPL)
99026;KLDT-O5WB;66,61983;UFOs;Several UFOs during floppy disruption
99024;KLDT-O5WB;64,76051;UFOs;Several UFOs during disruption seen also on KLDT-E5WD camera
99023;KLDT-O5WB;65,44655;UFOs;Several UFOs during floppy disruption
99022;KLDT-O5WB;66,53946;UFOs;Several UFOs during floppy disruption looks like they coming from WOPL or REION plate (seen also a bit on camera KLDT-P5WA )
99021;KLDT-O5WB;59,69067;UFOs;Cloud of UFOs during the disruption
99019;KL11-P1DB;42,03847;UFOs;Few UFOs flying around the vessel and at 43.718s it looks like some of them coming out from tile 5
99017;KL11-P1DB;41,95848;UFOs;Lots of UFOs flying around the vessel near the divertor seen also on camera KLDT-O5WB
99016;KLDT-O5WB;48,15845;UFOs;Lots of UFOs during the disruption
99016;KL11-P1DA;48,04088;UFOs;Lots of UFOs just after the disruption seen also on camera KL11-P1DB.
99016;KLDT-O5WB;41,93541;UFOs;Lots of UFOs flying around the vessel near the divertor seen also on camera KL11-P1DB
99015;KL11-P1DA;54,32067;UFOs;Lots of UFOs after the disruption, seen also on cameras KL11-P1DB and KLDT-P5TB
98999;KLDT-O5WB;47,819;UFOs;UFO from the top at about the same time as a sharp radiation spike + X-point MARFE. Another form outboard side slightly later.
98995;KLDT-O5WB;41,7717;UFOs;UFO(s) at x-point formation, looks like maybe from tiles 1/3 ?
98992;KL11-P1DA;46,68138;UFOs;It looos like a bigger UFO gets split in 2 and then 3 parts. You can see it flying toroidally on KL11-P1DB. Could be the titanium from the top? There is a small Titanium spick from spectroscopy data at this time.
98992;KLDT-O5WB;223,0;UFOs;From spectroscopy data it looks like it is Titanium. see also frames 232,244,304
98991;KLDT-O5WB;335,0;UFOs;More UFOs at frames 93, 224,240,277,355
98991;KL11-P1DB;51,21;UFOs;Lots of UFOs after the disruption from Tile 8. Reported to SL.
98991;KL11-P1DA;51,2208;UFOs;Lots of UFOs after the disruption. Reported to SL.
98938;KLDT-O5WB;50,092;UFOs;Heavy sprinkling of UFOs from the top, as usual for kick pulses.
98925;KL11-P1DA;53,32116;UFOs;Few UFO's just after disruption
98925;KLDT-O5WB;48,44996;UFOs;Several UFOs from Upper Dumplates and outer wall
98924;KLDT-O5WB;48,51712;UFOs;Several UFOs from Upper Dumplates and outer wall, a large UFOs coming very likely from wOPL at 50.444s and from LH antena at 52.5319s
98923;KLDT-O5WB;48,89357;UFOs;Confirm by DC that they are Ti (starting frame: 271)
98921;KLDT-O5WB;50,08087;UFOs;Several UFOs from Upper Dumplates and outer wall Time period: 50s-52s. Possibly Ti and Cu?
98921;KLDT-O5WB;50,08087;UFOs;Several UFOs from Upper Dumplates and outer wall Time period: 50s-52s
98895;KLDT-O5WB;48,59859;UFOs;Lots of UFOs from outer wall, inner wall and upper dump plates
98894;KLDT-O5WB;50,14695;UFOs;Large number of UFOS from outer wall and upper dum plates (Frames: 268-315)
98885;KL11-P1DA;48,9818;UFOs;UFO coming from tile 7
98831;KL1-O8WA;58,35707;UFOs;Large event for two frames. Possibly a UFO from Oct 8. Pulse disrupted immediately after event.
98820;KLDT-O5WB;52,57675;UFOs;UFO. 2 frames, fairly large turns from red to blue/white
98795;KLDT-O5WB;52,79986;UFOs;Blue UFO near IWGL 3Z. Possibly corroborated by KLDT-E5WD at 52.71s.
98793;KLDT-O5WB;50,0645;UFOs;Many blue UFOs flying around at the disruption. Corroborated by KLDT-E5WD with the Be II filter.
98791;KL1-O8WA;49,25;UFOs;Curving UFO from NBI8 (2 frames)
98791;KL12-O1WC;49,36;UFOs;Large event coming out of NBI8
98791;KL11-P1DA;48,70141;UFOs;Lots of spectacular UFOs in a cleaning pulse.
98788;KL11-P1DB;48,098;UFOs;Variety of UFOs mostly from the divertor it seems.
98786;KLDT-E5WC;57,453;UFOs;2 consecutive UFOs coming from mushrooms area over 4D outer limiter until 57.547 secs.
98786;KLDT-E5WD;57,45;UFOs;2 consecutive UFOs coming from mushrooms area over 4D outer limiter (9 frames).
98786;KLDT-P5WA;57,49;UFOs;Big UFO near mushrooms over 4D outer limiter (3 frames).
98786;KLDT-O5WB;57,53;UFOs;Big UFO near mushrooms over 4D outer limiter (2 frames).
98769;KL11-P1DA;53,20064;UFOs;Particles coming off the inner divertor for ~7 frames
98759;KL11-P1DB;53,03766;UFOs;More ill-defined UFOs from inner divertor
98756;KL11-P1DB;52,53767;UFOs;Ill-defined UFOs or cloud emanating form the hot region at junction of time 1 and 3.
98755;KL11-P1DB;53,63762;UFOs;UFOs apparently from tile 7.
98755;KL11-P1DB;53,09763;UFOs;More UFOs from hotspot at junction of tile 1 and tile 3.
98755;KL11-P1DB;52,31772;UFOs;Small UFOs from hotspot at junction of tile 1 and tile 3.
